Quarter,Index,Area
01-04-18,2983,Ciudad Lineal
01-07-18,3057,Ciudad Lineal
01-01-01,2060,Fuencarral
01-04-01,2057,Fuencarral
01-07-01,2047,Fuencarral
01-10-01,2174,Fuencarral
01-01-02,2432,Fuencarral
01-04-02,2562,Fuencarral
01-07-02,2675,Fuencarral
01-10-02,2807,Fuencarral
01-01-03,2951,Fuencarral
01-04-03,2959,Fuencarral
01-07-03,3064,Fuencarral
01-10-03,3283,Fuencarral
01-01-04,3296,Fuencarral
01-04-04,3358,Fuencarral
01-07-04,3397,Fuencarral
01-10-04,3428,Fuencarral
01-01-05,3470,Fuencarral
01-04-05,3503,Fuencarral
01-07-05,3472,Fuencarral
01-10-05,3593,Fuencarral
01-01-06,3743,Fuencarral
01-04-06,3830,Fuencarral
01-07-06,3831,Fuencarral
01-10-06,3868,Fuencarral
01-01-07,3921,Fuencarral
01-04-07,3917,Fuencarral
01-07-07,3892,Fuencarral
01-10-07,3833,Fuencarral
01-01-08,3839,Fuencarral
01-04-08,3720,Fuencarral
01-07-08,3666,Fuencarral
01-10-08,3612,Fuencarral
01-01-09,3590,Fuencarral
01-04-09,3557,Fuencarral
01-07-09,3515,Fuencarral
01-10-09,3496,Fuencarral
01-01-10,3453,Fuencarral
01-04-10,3426,Fuencarral
01-07-10,3438,Fuencarral
01-10-10,3456,Fuencarral
01-01-11,3401,Fuencarral
01-04-11,3317,Fuencarral
01-07-11,3265,Fuencarral
01-10-11,3211,Fuencarral
01-01-12,3121,Fuencarral
01-04-12,3016,Fuencarral
01-07-12,2948,Fuencarral
01-10-12,2835,Fuencarral
01-01-13,2788,Fuencarral
01-04-13,2717,Fuencarral
01-07-13,2885,Fuencarral
01-10-13,2805,Fuencarral
01-01-14,2821,Fuencarral
01-04-14,2678,Fuencarral
01-07-14,2656,Fuencarral
01-10-14,2656,Fuencarral
01-01-15,2680,Fuencarral
01-04-15,2719,Fuencarral
01-07-15,2714,Fuencarral
01-10-15,2734,Fuencarral
01-01-16,2758,Fuencarral
01-04-16,2740,Fuencarral
01-07-16,2768,Fuencarral
01-10-16,2824,Fuencarral
01-01-17,2934,Fuencarral
01-04-17,2996,Fuencarral
01-07-17,3067,Fuencarral
01-10-17,3174,Fuencarral
01-01-18,3184,Fuencarral
01-04-18,3318,Fuencarral
01-07-18,3386,Fuencarral
01-01-01,2098,Hortaleza
01-04-01,2149,Hortaleza
01-07-01,2104,Hortaleza
01-10-01,2193,Hortaleza
01-01-02,2180,Hortaleza
01-04-02,2445,Hortaleza
01-07-02,2422,Hortaleza
01-10-02,2758,Hortaleza
01-01-03,2746,Hortaleza
01-04-03,2863,Hortaleza
01-07-03,2936,Hortaleza
01-10-03,3046,Hortaleza
01-01-04,3119,Hortaleza
01-04-04,3210,Hortaleza
01-07-04,3225,Hortaleza
01-10-04,3343,Hortaleza
01-01-05,3352,Hortaleza
01-04-05,3395,Hortaleza
01-07-05,3476,Hortaleza
01-10-05,3567,Hortaleza
01-01-06,3659,Hortaleza
01-04-06,3673,Hortaleza
01-07-06,3761,Hortaleza
01-10-06,3820,Hortaleza
01-01-07,3840,Hortaleza
01-04-07,3871,Hortaleza
01-07-07,3878,Hortaleza
01-10-07,3910,Hortaleza
01-01-08,3950,Hortaleza
01-04-08,3853,Hortaleza
01-07-08,3868,Hortaleza
01-10-08,3889,Hortaleza
01-01-09,3836,Hortaleza
01-04-09,3823,Hortaleza
01-07-09,3782,Hortaleza
01-10-09,3787,Hortaleza
01-01-10,3729,Hortaleza
01-04-10,3712,Hortaleza
01-07-10,3705,Hortaleza
01-10-10,3573,Hortaleza
